"arc_length","u","v","p"
0.143,-0.0694094,0.145176,-9.39099
0.144,-0.069803,0.145656,-9.34289
0.145,-0.0701966,0.146136,-9.2948
0.146,-0.0705903,0.146616,-9.2467
0.147,-0.0709839,0.147096,-9.1986
0.148,-0.0713776,0.147576,-9.1505
0.149,-0.0717684,0.148024,-9.10384
0.15,-0.072157,0.148448,-9.05828
0.151,-0.0725456,0.148871,-9.01273
0.152,-0.0729342,0.149295,-8.96717
0.153,-0.0733229,0.149719,-8.92161
0.154,-0.0737115,0.150142,-8.87606
0.155,-0.0741001,0.150566,-8.8305
0.156,-0.0744887,0.15099,-8.78495
0.157,-0.074874,0.151371,-8.74109
0.158,-0.075258,0.15174,-8.6978
0.159,-0.0756421,0.152108,-8.6545
0.16,-0.0760262,0.152476,-8.61121
0.161,-0.0764103,0.152844,-8.56792
0.162,-0.0767943,0.153212,-8.52462
0.163,-0.0771784,0.15358,-8.48133
0.164,-0.0775625,0.153948,-8.43804
0.165,-0.0779428,0.154265,-8.39664
0.166,-0.0783227,0.154578,-8.35537
0.167,-0.0787027,0.154892,-8.3141
0.168,-0.0790827,0.155205,-8.27283
0.169,-0.0794627,0.155518,-8.23155
0.17,-0.0798427,0.155832,-8.19028
0.171,-0.0802227,0.156145,-8.14901
0.172,-0.0806022,0.156452,-8.10796
0.173,-0.0809785,0.156711,-8.06851
0.174,-0.0813548,0.156971,-8.02905
0.175,-0.0817311,0.15723,-7.98959
0.176,-0.0821074,0.15749,-7.95013
0.177,-0.0824837,0.157749,-7.91067
0.178,-0.08286,0.158009,-7.87121
0.179,-0.0832363,0.158268,-7.83176
0.18,-0.0836115,0.158511,-7.79281
0.181,-0.0839845,0.158718,-7.75498
0.182,-0.0843575,0.158925,-7.71716
0.183,-0.0847305,0.159131,-7.67933
0.184,-0.0851035,0.159338,-7.64151
0.185,-0.0854765,0.159545,-7.60368
0.186,-0.0858494,0.159751,-7.56586
0.187,-0.0862224,0.159958,-7.52803
0.188,-0.0865939,0.160139,-7.49095
0.189,-0.0869639,0.160294,-7.45459
0.19,-0.0873339,0.160448,-7.41824
0.191,-0.0877039,0.160603,-7.38189
0.192,-0.0880739,0.160758,-7.34554
0.193,-0.0884439,0.160913,-7.30919
0.194,-0.0888139,0.161068,-7.27284
0.195,-0.0891839,0.161223,-7.23649
0.196,-0.0895521,0.161343,-7.20106
0.197,-0.0899194,0.161447,-7.16605
0.198,-0.0902868,0.161551,-7.13103
0.199,-0.0906541,0.161655,-7.09602
0.2,-0.0910214,0.161759,-7.06101
0.201,-0.0913888,0.161863,-7.02599
0.202,-0.0917561,0.161967,-6.99098
0.203,-0.0921234,0.162071,-6.95597
0.204,-0.0924886,0.162132,-6.92201
0.205,-0.0928536,0.162186,-6.88821
0.206,-0.0932185,0.162241,-6.85441
0.207,-0.0935834,0.162295,-6.82061
0.208,-0.0939484,0.16235,-6.78681
0.209,-0.0943133,0.162404,-6.75301
0.21,-0.0946782,0.162458,-6.71921
0.211,-0.095043,0.16251,-6.68548
0.212,-0.0954058,0.162516,-6.65279
0.213,-0.0957685,0.162522,-6.62009
0.214,-0.0961313,0.162528,-6.5874
0.215,-0.0964941,0.162534,-6.5547
0.216,-0.0968568,0.16254,-6.52201
0.217,-0.0972196,0.162546,-6.48931
0.218,-0.0975823,0.162552,-6.45662
0.219,-0.0979446,0.162546,-6.42417
0.22,-0.0983054,0.162505,-6.39249
0.221,-0.0986662,0.162464,-6.3608
0.222,-0.099027,0.162422,-6.32911
0.223,-0.0993878,0.162381,-6.29743
0.224,-0.0997486,0.16234,-6.26574
0.225,-0.100109,0.162299,-6.23405
0.226,-0.10047,0.162258,-6.20237
0.227,-0.10083,0.162196,-6.17108
0.228,-0.101189,0.162109,-6.14032
0.229,-0.101548,0.162022,-6.10955
0.23,-0.101907,0.161935,-6.07879
0.231,-0.102266,0.161848,-6.04802
0.232,-0.102625,0.16176,-6.01726
0.233,-0.102984,0.161673,-5.9865
0.234,-0.103343,0.161586,-5.95573
0.235,-0.103701,0.161471,-5.92549
0.236,-0.104059,0.161339,-5.89557
0.237,-0.104416,0.161207,-5.86565
0.238,-0.104773,0.161075,-5.83573
0.239,-0.105131,0.160944,-5.80581
0.24,-0.105488,0.160812,-5.77589
0.241,-0.105846,0.16068,-5.74597
0.242,-0.106203,0.160548,-5.71605
0.243,-0.106559,0.160381,-5.68676
0.244,-0.106915,0.160206,-5.65761
0.245,-0.107271,0.16003,-5.62847
0.246,-0.107626,0.159855,-5.59932
0.247,-0.107982,0.15968,-5.57018
0.248,-0.108338,0.159505,-5.54103
0.249,-0.108694,0.15933,-5.51188
0.25,-0.10905,0.159154,-5.48274
0.251,-0.109404,0.158937,-5.45431
0.252,-0.109759,0.15872,-5.42587
0.253,-0.110113,0.158503,-5.39744
0.254,-0.110467,0.158285,-5.369
0.255,-0.110822,0.158068,-5.34057
0.256,-0.111176,0.157851,-5.31213
0.257,-0.11153,0.157634,-5.2837
0.258,-0.111884,0.157409,-5.25539
0.259,-0.112237,0.157151,-5.22761
0.26,-0.11259,0.156893,-5.19983
0.261,-0.112943,0.156635,-5.17205
0.262,-0.113296,0.156377,-5.14427
0.263,-0.113649,0.156119,-5.11649
0.264,-0.114002,0.155861,-5.08871
0.265,-0.114355,0.155603,-5.06093
0.266,-0.114708,0.15533,-5.03337
0.267,-0.115059,0.155033,-5.0062
0.268,-0.115411,0.154736,-4.97902
0.269,-0.115762,0.154439,-4.95184
0.27,-0.116114,0.154141,-4.92467
0.271,-0.116465,0.153844,-4.89749
0.272,-0.116817,0.153547,-4.87031
0.273,-0.117168,0.15325,-4.84313
0.274,-0.117519,0.152931,-4.81627
0.275,-0.117869,0.152596,-4.78965
0.276,-0.118219,0.152261,-4.76303
0.277,-0.118569,0.151925,-4.7364
0.278,-0.118919,0.15159,-4.70978
0.279,-0.11927,0.151255,-4.68316
0.28,-0.11962,0.15092,-4.65654
0.281,-0.11997,0.150585,-4.62992
0.282,-0.120319,0.150222,-4.60368
0.283,-0.120667,0.14985,-4.57757
0.284,-0.121016,0.149478,-4.55146
0.285,-0.121365,0.149107,-4.52535
0.286,-0.121713,0.148735,-4.49924
0.287,-0.122062,0.148363,-4.47313
0.288,-0.122411,0.147991,-4.44703
0.289,-0.122759,0.14762,-4.42092
0.29,-0.123106,0.147215,-4.39525
0.291,-0.123453,0.146808,-4.36961
0.292,-0.123801,0.146401,-4.34398
0.293,-0.124148,0.145994,-4.31834
0.294,-0.124495,0.145587,-4.29271
0.295,-0.124842,0.14518,-4.26707
0.296,-0.125189,0.144773,-4.24143
0.297,-0.125536,0.144362,-4.21585
0.298,-0.125881,0.143921,-4.19065
0.299,-0.126226,0.143481,-4.16545
0.3,-0.126572,0.14304,-4.14025
0.301,-0.126917,0.142599,-4.11505
0.302,-0.127263,0.142159,-4.08985
0.303,-0.127608,0.141718,-4.06465
0.304,-0.127953,0.141277,-4.03946
0.305,-0.128298,0.140826,-4.01438
0.306,-0.128642,0.140353,-3.98959
0.307,-0.128985,0.13988,-3.96479
0.308,-0.129329,0.139407,-3.94
0.309,-0.129672,0.138934,-3.9152
0.31,-0.130016,0.138461,-3.8904
0.311,-0.130359,0.137988,-3.86561
0.312,-0.130703,0.137515,-3.84081
0.313,-0.131045,0.137026,-3.8162
0.314,-0.131387,0.136522,-3.79178
0.315,-0.131728,0.136018,-3.76736
0.316,-0.13207,0.135514,-3.74293
0.317,-0.132411,0.135009,-3.71851
0.318,-0.132753,0.134505,-3.69409
0.319,-0.133094,0.134001,-3.66967
0.32,-0.133436,0.133497,-3.64524
0.321,-0.133776,0.132973,-3.62106
0.322,-0.134115,0.132439,-3.59698
0.323,-0.134454,0.131905,-3.5729
0.324,-0.134793,0.131371,-3.54882
0.325,-0.135132,0.130838,-3.52475
0.326,-0.135472,0.130304,-3.50067
0.327,-0.135811,0.12977,-3.47659
0.328,-0.13615,0.129237,-3.45251
0.329,-0.136487,0.128678,-3.42871
0.33,-0.136824,0.128116,-3.40495
0.331,-0.13716,0.127554,-3.38119
0.332,-0.137497,0.126992,-3.35743
0.333,-0.137834,0.12643,-3.33367
0.334,-0.13817,0.125868,-3.30992
0.335,-0.138507,0.125306,-3.28616
0.336,-0.138844,0.124743,-3.26241
0.337,-0.139177,0.124154,-3.23895
0.338,-0.139511,0.123565,-3.21548
0.339,-0.139845,0.122976,-3.19202
0.34,-0.140179,0.122387,-3.16855
0.341,-0.140513,0.121798,-3.14509
0.342,-0.140847,0.12121,-3.12162
0.343,-0.14118,0.120621,-3.09816
0.344,-0.141513,0.120026,-3.07476
0.345,-0.141844,0.119411,-3.05157
0.346,-0.142175,0.118797,-3.02837
0.347,-0.142505,0.118183,-3.00518
0.348,-0.142836,0.117568,-2.98198
0.349,-0.143167,0.116954,-2.95879
0.35,-0.143497,0.11634,-2.9356
0.351,-0.143828,0.115725,-2.9124
0.352,-0.144157,0.1151,-2.88932
0.353,-0.144484,0.114462,-2.86637
0.354,-0.144811,0.113823,-2.84343
0.355,-0.145138,0.113185,-2.82049
0.356,-0.145465,0.112546,-2.79754
0.357,-0.145792,0.111908,-2.7746
0.358,-0.14612,0.111269,-2.75166
0.359,-0.146447,0.110631,-2.72871
0.36,-0.146771,0.109978,-2.70591
0.361,-0.147094,0.109317,-2.6832
0.362,-0.147417,0.108656,-2.66049
0.363,-0.14774,0.107994,-2.63777
0.364,-0.148064,0.107333,-2.61506
0.365,-0.148387,0.106672,-2.59235
0.366,-0.14871,0.106011,-2.56964
0.367,-0.149033,0.105349,-2.54692
0.368,-0.149352,0.104671,-2.52438
0.369,-0.149671,0.103988,-2.50188
0.37,-0.14999,0.103305,-2.47938
0.371,-0.150308,0.102622,-2.45688
0.372,-0.150627,0.10194,-2.43438
0.373,-0.150945,0.101257,-2.41188
0.374,-0.151264,0.100574,-2.38938
0.375,-0.151583,0.0998915,-2.36688
0.376,-0.151896,0.0991887,-2.34457
0.377,-0.15221,0.0984858,-2.32227
0.378,-0.152524,0.0977829,-2.29996
0.379,-0.152837,0.0970801,-2.27765
0.38,-0.153151,0.0963772,-2.25535
0.381,-0.153465,0.0956744,-2.23304
0.382,-0.153778,0.0949715,-2.21074
0.383,-0.154091,0.0942651,-2.18846
0.384,-0.154399,0.0935435,-2.16634
0.385,-0.154707,0.0928218,-2.14421
0.386,-0.155015,0.0921001,-2.12208
0.387,-0.155323,0.0913785,-2.09995
0.388,-0.155631,0.0906568,-2.07783
0.389,-0.15594,0.0899352,-2.0557
0.39,-0.156248,0.0892135,-2.03357
0.391,-0.156554,0.0884853,-2.0115
0.392,-0.156856,0.0877461,-1.98954
0.393,-0.157158,0.0870069,-1.96757
0.394,-0.15746,0.0862678,-1.94561
0.395,-0.157762,0.0855286,-1.92365
0.396,-0.158064,0.0847895,-1.90168
0.397,-0.158366,0.0840503,-1.87972
0.398,-0.158667,0.0833112,-1.85775
0.399,-0.158966,0.0825629,-1.83587
0.4,-0.159261,0.0818075,-1.81405
0.401,-0.159556,0.0810522,-1.79224
0.402,-0.159851,0.0802968,-1.77042
0.403,-0.160146,0.0795414,-1.7486
0.404,-0.160442,0.0787861,-1.72679
0.405,-0.160737,0.0780307,-1.70497
0.406,-0.161032,0.0772754,-1.68315
0.407,-0.161322,0.0765088,-1.66144
0.408,-0.161609,0.0757385,-1.63976
0.409,-0.161897,0.0749683,-1.61807
0.41,-0.162185,0.074198,-1.59639
0.411,-0.162473,0.0734277,-1.57471
0.412,-0.16276,0.0726574,-1.55303
0.413,-0.163048,0.0718872,-1.53135
0.414,-0.163336,0.0711169,-1.50966
0.415,-0.163616,0.0703339,-1.48809
0.416,-0.163895,0.0695499,-1.46653
0.417,-0.164175,0.0687661,-1.44497
0.418,-0.164454,0.0679821,-1.42341
0.419,-0.164734,0.0671982,-1.40185
0.42,-0.165013,0.0664143,-1.38029
0.421,-0.165293,0.0656304,-1.35873
0.422,-0.165571,0.064845,-1.33718
0.423,-0.165841,0.0640487,-1.31573
0.424,-0.166112,0.0632525,-1.29427
0.425,-0.166382,0.0624562,-1.27282
0.426,-0.166653,0.0616599,-1.25137
0.427,-0.166923,0.0608637,-1.22992
0.428,-0.167194,0.0600674,-1.20846
0.429,-0.167464,0.0592711,-1.18701
