"arc_length","u","v","p"
0.707,-0.10748,-0.158388,3.05017
0.708,-0.106128,-0.158855,3.07842
0.709,-0.104777,-0.159321,3.10667
0.71,-0.103425,-0.159787,3.13492
0.711,-0.102067,-0.160251,3.16329
0.712,-0.100615,-0.16068,3.19342
0.713,-0.0991634,-0.16111,3.22355
0.714,-0.0977115,-0.161539,3.25368
0.715,-0.0962597,-0.161968,3.28381
0.716,-0.0948078,-0.162398,3.31394
0.717,-0.093356,-0.162827,3.34407
0.718,-0.0919041,-0.163256,3.3742
0.719,-0.0904263,-0.163676,3.40483
0.72,-0.0888705,-0.164067,3.43694
0.721,-0.0873148,-0.164457,3.46906
0.722,-0.085759,-0.164848,3.50117
0.723,-0.0842033,-0.165239,3.53328
0.724,-0.0826476,-0.165629,3.5654
0.725,-0.0810918,-0.16602,3.59751
0.726,-0.079536,-0.166411,3.62963
0.727,-0.0779332,-0.166784,3.66265
0.728,-0.0762699,-0.167134,3.69685
0.729,-0.0746065,-0.167484,3.73106
0.73,-0.0729431,-0.167835,3.76526
0.731,-0.0712797,-0.168185,3.79946
0.732,-0.0696164,-0.168535,3.83366
0.733,-0.0679531,-0.168886,3.86787
0.734,-0.0662896,-0.169236,3.90207
0.735,-0.0645567,-0.16956,3.93765
0.736,-0.062782,-0.169868,3.97405
0.737,-0.0610073,-0.170176,4.01046
0.738,-0.0592326,-0.170484,4.04686
0.739,-0.0574579,-0.170793,4.08327
0.74,-0.0556832,-0.171101,4.11967
0.741,-0.0539085,-0.171409,4.15607
0.742,-0.0521338,-0.171717,4.19248
0.743,-0.0502657,-0.17199,4.23077
0.744,-0.0483759,-0.172254,4.26949
0.745,-0.0464862,-0.172518,4.30822
0.746,-0.0445965,-0.172783,4.34694
0.747,-0.0427069,-0.173047,4.38567
0.748,-0.0408171,-0.173311,4.4244
0.749,-0.0389274,-0.173576,4.46312
0.75,-0.0370377,-0.17384,4.50185
0.751,-0.0350294,-0.174059,4.54302
0.752,-0.033021,-0.174277,4.58419
0.753,-0.0310126,-0.174496,4.62537
0.754,-0.0290043,-0.174715,4.66654
0.755,-0.0269959,-0.174934,4.70772
0.756,-0.0249876,-0.175153,4.74889
0.757,-0.0229791,-0.175371,4.79007
0.758,-0.0209479,-0.175581,4.83173
0.759,-0.0188174,-0.175753,4.87549
0.76,-0.0166868,-0.175924,4.91925
0.761,-0.0145563,-0.176096,4.96301
0.762,-0.0124256,-0.176267,5.00677
0.763,-0.0102951,-0.176438,5.05053
0.764,-0.00816458,-0.17661,5.09429
0.765,-0.00603405,-0.176781,5.13805
0.766,-0.00385639,-0.176934,5.18283
0.767,-0.00160004,-0.177057,5.22933
0.768,0.00065618,-0.177179,5.27582
0.769,0.0029124,-0.177302,5.32232
0.77,0.00516861,-0.177424,5.36881
0.771,0.00742496,-0.177547,5.4153
0.772,0.00968118,-0.177669,5.4618
0.773,0.0119374,-0.177792,5.50829
0.774,0.0142662,-0.177886,5.55641
0.775,0.0166515,-0.177957,5.6058
0.776,0.0190369,-0.178029,5.65518
0.777,0.0214222,-0.178101,5.70457
0.778,0.0238074,-0.178173,5.75396
0.779,0.0261927,-0.178245,5.80334
0.78,0.028578,-0.178316,5.85273
0.781,0.0309634,-0.178388,5.90212
0.782,0.0334479,-0.178421,5.9538
0.783,0.0359655,-0.17844,6.00625
0.784,0.0384831,-0.17846,6.0587
0.785,0.0410008,-0.178479,6.11116
0.786,0.0435184,-0.178499,6.16361
0.787,0.0460359,-0.178518,6.21606
0.788,0.0485535,-0.178538,6.26851
0.789,0.0510711,-0.178557,6.32097
0.79,0.0537158,-0.178526,6.37647
0.791,0.0563687,-0.178492,6.43218
0.792,0.0590217,-0.178457,6.48789
0.793,0.0616747,-0.178423,6.5436
0.794,0.0643278,-0.178388,6.59931
0.795,0.0669808,-0.178354,6.65501
0.796,0.0696338,-0.178319,6.71072
0.797,0.072304,-0.178278,6.76686
0.798,0.0750953,-0.178188,6.82603
0.799,0.0778868,-0.178098,6.88521
0.8,0.0806781,-0.178008,6.94438
0.801,0.0834694,-0.177918,7.00356
0.802,0.0862607,-0.177828,7.06273
0.803,0.089052,-0.177739,7.1219
0.804,0.0918434,-0.177649,7.18108
0.805,0.0946788,-0.177541,7.2414
0.806,0.0976111,-0.177394,7.30427
0.807,0.100543,-0.177247,7.36714
0.808,0.103476,-0.1771,7.43001
0.809,0.106408,-0.176953,7.49288
0.81,0.109341,-0.176806,7.55575
0.811,0.112273,-0.17666,7.61862
0.812,0.115205,-0.176513,7.68149
0.813,0.11821,-0.176337,7.74633
0.814,0.121285,-0.176131,7.81316
0.815,0.124361,-0.175926,7.87998
0.816,0.127437,-0.175721,7.9468
0.817,0.130513,-0.175515,8.01362
0.818,0.133589,-0.17531,8.08045
0.819,0.136665,-0.175105,8.14727
0.82,0.139741,-0.1749,8.21409
0.821,0.142917,-0.174653,8.28383
0.822,0.146138,-0.174388,8.3549
0.823,0.14936,-0.174123,8.42597
0.824,0.152582,-0.173858,8.49704
0.825,0.155803,-0.173593,8.5681
0.826,0.159025,-0.173328,8.63917
0.827,0.162247,-0.173063,8.71024
0.828,0.165468,-0.172798,8.7813
0.829,0.168819,-0.172479,8.85637
0.83,0.172188,-0.172153,8.932
0.831,0.175557,-0.171827,9.00764
0.832,0.178927,-0.171501,9.08328
0.833,0.182296,-0.171175,9.15892
0.834,0.185666,-0.170849,9.23455
0.835,0.189035,-0.170523,9.31019
0.836,0.192414,-0.170193,9.38614
0.837,0.195932,-0.169804,9.46672
0.838,0.199451,-0.169416,9.5473
0.839,0.202969,-0.169028,9.62788
0.84,0.206488,-0.168639,9.70846
0.841,0.210007,-0.168251,9.78904
0.842,0.213525,-0.167863,9.86962
0.843,0.217044,-0.167475,9.9502
0.844,0.2206,-0.16707,10.0321
0.845,0.22427,-0.166619,10.1181
0.846,0.227939,-0.166167,10.204
0.847,0.231608,-0.165716,10.29
0.848,0.235277,-0.165264,10.3759
0.849,0.238946,-0.164812,10.4619
0.85,0.242616,-0.164361,10.5479
0.851,0.246285,-0.163909,10.6338
0.852,0.25002,-0.163429,10.7223
0.853,0.253841,-0.162914,10.8142
0.854,0.257661,-0.162398,10.906
0.855,0.261482,-0.161882,10.9978
0.856,0.265303,-0.161366,11.0896
0.857,0.269123,-0.16085,11.1814
0.858,0.272944,-0.160334,11.2733
0.859,0.276765,-0.159818,11.3651
0.86,0.28068,-0.159262,11.461
0.861,0.284653,-0.158681,11.5592
0.862,0.288625,-0.1581,11.6575
0.863,0.292598,-0.157519,11.7558
0.864,0.296571,-0.156938,11.8541
0.865,0.300543,-0.156357,11.9523
0.866,0.304516,-0.155776,12.0506
0.867,0.308488,-0.155195,12.1489
0.868,0.312584,-0.154561,12.253
0.869,0.316709,-0.153914,12.3584
0.87,0.320833,-0.153267,12.4638
0.871,0.324958,-0.152621,12.5692
0.872,0.329082,-0.151974,12.6746
0.873,0.333207,-0.151327,12.78
0.874,0.337331,-0.15068,12.8855
0.875,0.341456,-0.150034,12.9909
0.876,0.345732,-0.149321,13.1043
0.877,0.350007,-0.148607,13.2176
0.878,0.354283,-0.147894,13.331
0.879,0.358559,-0.147181,13.4444
0.88,0.362835,-0.146468,13.5578
0.881,0.367111,-0.145755,13.6712
0.882,0.371387,-0.145042,13.7846
0.883,0.375691,-0.144316,13.8996
0.884,0.380117,-0.143537,14.022
0.885,0.384544,-0.142757,14.1443
0.886,0.38897,-0.141977,14.2667
0.887,0.393396,-0.141197,14.389
0.888,0.397823,-0.140417,14.5114
0.889,0.402249,-0.139637,14.6337
0.89,0.406675,-0.138858,14.756
0.891,0.411157,-0.138053,14.8822
0.892,0.415732,-0.137206,15.0148
0.893,0.420307,-0.136359,15.1473
0.894,0.424883,-0.135512,15.2798
0.895,0.429458,-0.134665,15.4124
0.896,0.434033,-0.133819,15.5449
0.897,0.438608,-0.132972,15.6774
0.898,0.443183,-0.132125,15.81
0.899,0.44784,-0.13124,15.9491
0.9,0.452562,-0.130326,16.0934
0.901,0.457284,-0.129413,16.2376
0.902,0.462006,-0.128499,16.3819
0.903,0.466727,-0.127585,16.5261
0.904,0.471449,-0.126671,16.6704
0.905,0.47617,-0.125757,16.8147
0.906,0.480892,-0.124843,16.9589
0.907,0.485722,-0.123879,17.1134
0.908,0.490587,-0.122898,17.2714
0.909,0.495452,-0.121918,17.4293
0.91,0.500318,-0.120937,17.5872
0.911,0.505183,-0.119956,17.7452
0.912,0.510049,-0.118975,17.9031
0.913,0.514914,-0.117994,18.061
0.914,0.51978,-0.117014,18.2189
0.915,0.524777,-0.11597,18.3921
0.916,0.529782,-0.114923,18.5662
0.917,0.534788,-0.113876,18.7403
0.918,0.539793,-0.112828,18.9144
0.919,0.544799,-0.111781,19.0886
0.92,0.549805,-0.110733,19.2627
0.921,0.55481,-0.109686,19.4368
0.922,0.559833,-0.10863,19.6134
0.923,0.564975,-0.107517,19.807
0.924,0.570116,-0.106403,20.0007
0.925,0.575258,-0.10529,20.1944
0.926,0.580399,-0.104176,20.388
0.927,0.585541,-0.103062,20.5817
0.928,0.590683,-0.101949,20.7754
0.929,0.595824,-0.100835,20.969
0.93,0.601007,-0.0997014,21.1703
0.931,0.606279,-0.0985224,21.388
0.932,0.611552,-0.0973435,21.6058
0.933,0.616824,-0.0961645,21.8236
0.934,0.622097,-0.0949855,22.0414
0.935,0.627369,-0.0938066,22.2592
0.936,0.632642,-0.0926277,22.477
0.937,0.637914,-0.0914487,22.6948
0.938,0.64325,-0.0902375,22.9279
0.939,0.648647,-0.088994,23.1763
0.94,0.654045,-0.0877506,23.4247
0.941,0.659442,-0.0865072,23.6731
0.942,0.66484,-0.0852637,23.9215
0.943,0.670238,-0.0840202,24.1699
0.944,0.675635,-0.0827768,24.4183
0.945,0.681033,-0.0815334,24.6667
0.946,0.686512,-0.0802464,24.9427
0.947,0.692028,-0.0789395,25.2313
0.948,0.697544,-0.0776327,25.5199
0.949,0.70306,-0.0763259,25.8084
0.95,0.708576,-0.0750192,26.097
0.951,0.714092,-0.0737124,26.3856
0.952,0.719609,-0.0724055,26.6742
0.953,0.725125,-0.0710987,26.9627
0.954,0.730738,-0.0697377,27.2996
0.955,0.736364,-0.0683689,27.6433
0.956,0.741991,-0.0670001,27.987
0.957,0.747619,-0.0656312,28.3307
0.958,0.753246,-0.0642624,28.6744
0.959,0.758872,-0.0628936,29.0181
0.96,0.764499,-0.0615248,29.3618
0.961,0.770133,-0.0601522,29.7106
0.962,0.775862,-0.058723,30.1345
0.963,0.781592,-0.0572938,30.5585
0.964,0.787321,-0.0558646,30.9825
0.965,0.793051,-0.0544353,31.4065
0.966,0.79878,-0.053006,31.8305
0.967,0.80451,-0.0515768,32.2545
0.968,0.810239,-0.0501476,32.6784
0.969,0.815992,-0.0487037,33.1342
0.97,0.821814,-0.0472158,33.6852
0.971,0.827637,-0.045728,34.2363
0.972,0.833459,-0.0442401,34.7873
0.973,0.839282,-0.0427523,35.3384
0.974,0.845104,-0.0412645,35.8894
0.975,0.850927,-0.0397765,36.4405
0.976,0.856749,-0.0382887,36.9915
0.977,0.862608,-0.0367761,37.6454
0.978,0.868513,-0.0352317,38.4317
0.979,0.874418,-0.0336873,39.2179
0.98,0.880324,-0.0321428,40.0042
0.981,0.886229,-0.0305983,40.7904
0.982,0.892134,-0.0290539,41.5766
0.983,0.898039,-0.0275095,42.3629
0.984,0.903944,-0.025965,43.1491
0.985,0.909894,-0.0243866,44.2732
0.986,0.91587,-0.0227878,45.5999
0.987,0.921847,-0.0211891,46.9267
0.988,0.927823,-0.0195903,48.2534
0.989,0.9338,-0.0179915,49.5802
0.99,0.939776,-0.0163927,50.907
0.991,0.945752,-0.014794,52.2337
0.992,0.951729,-0.0131952,53.5604
0.993,0.957753,-0.0115544,54.9259
0.994,0.963788,-0.00990368,56.3004
0.995,0.969824,-0.00825308,57.6748
0.996,0.975859,-0.00660248,59.0492
0.997,0.981894,-0.00495189,60.4236
0.998,0.98793,-0.00330119,61.7981
0.999,0.993965,-0.0016506,63.1725
1,1,0,64.5469
