"arc_length","p","u","v"
0,0.151538,0,0
0.00600004,0.151438,0.00875542,-0.00014716
0.0120001,0.151337,0.0175108,-0.000294321
0.0179999,0.151237,0.0262659,-0.000441475
0.0239999,0.151137,0.0350213,-0.000588636
0.03,0.151037,0.0437768,-0.000735796
0.036,0.150937,0.0525322,-0.000882956
0.0420001,0.150837,0.0612876,-0.00103012
0.0480001,0.150737,0.070043,-0.00117728
0.0539999,0.150636,0.0787981,-0.00132443
0.0599999,0.150536,0.0875535,-0.00147159
0.066,0.150436,0.0963089,-0.00161875
0.072,0.150336,0.105064,-0.00176591
0.0780001,0.150236,0.11382,-0.00191307
0.0840001,0.150136,0.122575,-0.00206023
0.0899999,0.150036,0.13133,-0.00220739
0.096,0.149935,0.140086,-0.00235455
0.102,0.149835,0.148841,-0.00250171
0.108,0.149735,0.157597,-0.00264887
0.114,0.149635,0.166352,-0.00279603
0.12,0.149535,0.175107,-0.00294318
0.126,0.149435,0.183862,-0.00309034
0.132,0.149335,0.192618,-0.00323751
0.138,0.149234,0.201373,-0.00338467
0.144,0.149134,0.210129,-0.00353183
0.15,0.149034,0.218884,-0.00367899
0.156,0.148934,0.227639,-0.00382614
0.162,0.148834,0.236395,-0.0039733
0.168,0.148734,0.24515,-0.00412046
0.174,0.148634,0.253906,-0.00426762
0.18,0.148558,0.26129,-0.00464266
0.186,0.148496,0.267882,-0.00514944
0.192,0.148434,0.274473,-0.00565619
0.198,0.148372,0.281065,-0.00616297
0.204,0.148309,0.287657,-0.00666975
0.21,0.148247,0.294249,-0.00717652
0.216,0.148185,0.30084,-0.0076833
0.222,0.148123,0.307432,-0.00819005
0.228,0.148061,0.314024,-0.00869683
0.234,0.147999,0.320616,-0.00920361
0.24,0.147937,0.327207,-0.00971038
0.246,0.147875,0.333799,-0.0102172
0.252,0.147813,0.340391,-0.0107239
0.258,0.147751,0.346983,-0.0112307
0.264,0.147689,0.353574,-0.0117375
0.27,0.147627,0.360166,-0.0122442
0.276,0.147565,0.366758,-0.012751
0.282,0.147503,0.37335,-0.0132578
