"arc_length","p","u","v"
0.906,0.210685,0.870079,-0.100918
0.912,0.210097,0.873631,-0.102036
0.918,0.209509,0.877183,-0.103154
0.924,0.20892,0.880735,-0.104273
0.93,0.208332,0.884287,-0.105391
0.936,0.207743,0.887839,-0.106509
0.942,0.207155,0.891391,-0.107627
0.948,0.206566,0.894943,-0.108745
0.954,0.205978,0.898495,-0.109863
0.96,0.20539,0.902047,-0.110982
0.966,0.204801,0.905599,-0.1121
0.972,0.204213,0.909151,-0.113218
0.978,0.203624,0.912703,-0.114336
0.984,0.203036,0.916255,-0.115454
0.99,0.202447,0.919807,-0.116572
0.996,0.201859,0.923359,-0.117691
1.002,0.201271,0.926911,-0.118809
1.008,0.200682,0.930463,-0.119927
1.014,0.200094,0.934015,-0.121045
1.02,0.199505,0.937567,-0.122163
1.026,0.198917,0.941119,-0.123281
1.032,0.198329,0.944671,-0.1244
1.038,0.19774,0.948223,-0.125518
1.044,0.197152,0.951775,-0.126636
1.05,0.196563,0.955327,-0.127754
1.056,0.195975,0.958879,-0.128872
1.062,0.195176,0.962274,-0.130049
1.068,0.194324,0.965631,-0.13124
1.074,0.193473,0.968989,-0.132431
1.08,0.192621,0.972346,-0.133622
1.086,0.19177,0.975703,-0.134813
1.092,0.190918,0.97906,-0.136004
1.098,0.190067,0.982417,-0.137195
1.104,0.189215,0.985774,-0.138386
1.11,0.188364,0.989131,-0.139577
1.116,0.187513,0.992488,-0.140768
1.122,0.186661,0.995845,-0.141959
1.128,0.18581,0.999202,-0.14315
1.134,0.184958,1.00256,-0.144341
1.14,0.184107,1.00592,-0.145532
1.146,0.183255,1.00927,-0.146723
1.152,0.182404,1.01263,-0.147914
1.158,0.181552,1.01599,-0.149105
1.164,0.180701,1.01934,-0.150296
1.17,0.17985,1.0227,-0.151487
1.176,0.178998,1.02606,-0.152678
1.182,0.178147,1.02942,-0.153869
1.188,0.177295,1.03277,-0.15506
1.194,0.176444,1.03613,-0.156251
1.2,0.175592,1.03949,-0.157443
1.206,0.174741,1.04284,-0.158634
1.212,0.173889,1.0462,-0.159825
1.218,0.173038,1.04956,-0.161016
1.224,0.172187,1.05291,-0.162207
1.23,0.171335,1.05627,-0.163398
1.236,0.170335,1.05954,-0.164599
1.242,0.169141,1.06269,-0.165813
1.248,0.167948,1.06584,-0.167027
1.254,0.166754,1.06898,-0.168241
1.26,0.165561,1.07213,-0.169455
1.266,0.164367,1.07528,-0.170669
1.272,0.163174,1.07843,-0.171883
1.278,0.161981,1.08158,-0.173097
1.284,0.160787,1.08473,-0.174311
1.29,0.159594,1.08788,-0.175525
1.296,0.1584,1.09102,-0.176739
1.302,0.157207,1.09417,-0.177953
1.308,0.156013,1.09732,-0.179167
1.314,0.15482,1.10047,-0.180381
1.32,0.153626,1.10362,-0.181595
1.326,0.152433,1.10677,-0.182809
1.332,0.151239,1.10992,-0.184023
1.338,0.150046,1.11306,-0.185237
1.344,0.148852,1.11621,-0.186451
1.35,0.147659,1.11936,-0.187665
1.356,0.146466,1.12251,-0.188879
1.362,0.145272,1.12566,-0.190093
1.368,0.144079,1.12881,-0.191307
1.374,0.142885,1.13196,-0.192521
1.38,0.141692,1.1351,-0.193735
1.386,0.140498,1.13825,-0.194949
1.392,0.139305,1.1414,-0.196163
1.398,0.138111,1.14455,-0.197377
1.404,0.136918,1.1477,-0.198591
1.41,0.135692,1.15081,-0.199796
1.416,0.134026,1.15346,-0.200878
1.422,0.132361,1.15611,-0.20196
1.428,0.130695,1.15876,-0.203042
1.434,0.12903,1.1614,-0.204124
1.44,0.127364,1.16405,-0.205206
1.446,0.125699,1.1667,-0.206288
1.452,0.124033,1.16935,-0.20737
1.458,0.122368,1.17199,-0.208452
1.464,0.120702,1.17464,-0.209534
1.47,0.119036,1.17729,-0.210616
1.476,0.117371,1.17994,-0.211698
1.482,0.115705,1.18258,-0.21278
1.488,0.11404,1.18523,-0.213863
1.494,0.112374,1.18788,-0.214945
1.5,0.110709,1.19053,-0.216027
1.506,0.109043,1.19317,-0.217109
1.512,0.107378,1.19582,-0.218191
1.518,0.105712,1.19847,-0.219273
1.524,0.104047,1.20112,-0.220355
1.53,0.102381,1.20377,-0.221437
1.536,0.100715,1.20641,-0.222519
1.542,0.0990499,1.20906,-0.223601
1.548,0.0973844,1.21171,-0.224683
1.554,0.0957189,1.21436,-0.225765
1.56,0.0940533,1.217,-0.226847
1.566,0.0923878,1.21965,-0.227929
1.572,0.0907222,1.2223,-0.229012
1.578,0.0890567,1.22495,-0.230094
1.584,0.0873912,1.22759,-0.231176
1.59,0.0853354,1.2297,-0.231995
1.596,0.0831144,1.23157,-0.232702
1.602,0.0808934,1.23344,-0.23341
1.608,0.0786723,1.23531,-0.234117
1.614,0.0764513,1.23718,-0.234825
1.62,0.0742302,1.23905,-0.235532
1.626,0.0720092,1.24093,-0.23624
1.632,0.0697882,1.2428,-0.236947
1.638,0.0675671,1.24467,-0.237655
1.644,0.065346,1.24654,-0.238362
1.65,0.063125,1.24841,-0.23907
1.656,0.060904,1.25028,-0.239777
1.662,0.0586537,1.25163,-0.240305
1.668,0.0563904,1.25275,-0.240753
1.674,0.0541272,1.25387,-0.241201
1.68,0.0518641,1.25499,-0.24165
1.686,0.0496009,1.2561,-0.242098
1.692,0.0473377,1.25722,-0.242547
1.698,0.0450745,1.25834,-0.242995
1.704,0.0428113,1.25946,-0.243443
1.71,0.0405481,1.26057,-0.243892
1.716,0.0382849,1.26169,-0.24434
1.722,0.0360217,1.26281,-0.244789
1.728,0.0336834,1.26366,-0.245112
1.734,0.0311304,1.26372,-0.245078
1.74,0.0285773,1.26379,-0.245045
1.746,0.0260243,1.26385,-0.245011
1.752,0.0234713,1.26392,-0.244977
1.758,0.0209182,1.26399,-0.244944
1.764,0.0183652,1.26405,-0.24491
1.77,0.0158122,1.26412,-0.244876
1.776,0.0132591,1.26419,-0.244843
1.782,0.0107061,1.26425,-0.244809
1.788,0.00815308,1.26432,-0.244775
1.794,0.00554273,1.26388,-0.244536
1.8,0.00283412,1.26256,-0.243944
1.806,0.000125442,1.26125,-0.243351
1.812,-0.00258323,1.25993,-0.242759
1.818,-0.00529185,1.25862,-0.242167
1.824,-0.00800052,1.2573,-0.241574
1.83,-0.0107092,1.25599,-0.240982
1.836,-0.0134178,1.25467,-0.24039
1.842,-0.0161265,1.25336,-0.239798
1.848,-0.0188352,1.25204,-0.239205
1.854,-0.0215438,1.25073,-0.238613
1.86,-0.0243776,1.24771,-0.23737
1.866,-0.0272119,1.24469,-0.236125
1.872,-0.0300462,1.24167,-0.23488
1.878,-0.0328806,1.23864,-0.233634
1.884,-0.0357149,1.23562,-0.232389
1.89,-0.0385492,1.2326,-0.231143
1.896,-0.0413835,1.22958,-0.229898
1.902,-0.0442178,1.22655,-0.228653
1.908,-0.0470522,1.22353,-0.227407
1.914,-0.0498907,1.22028,-0.226082
1.92,-0.0527611,1.21527,-0.224157
1.926,-0.0556314,1.21026,-0.222232
1.932,-0.0585018,1.20525,-0.220306
1.938,-0.0613721,1.20024,-0.218381
1.944,-0.0642425,1.19523,-0.216456
1.95,-0.0671128,1.19023,-0.214531
1.956,-0.0699831,1.18522,-0.212605
1.962,-0.0728535,1.18021,-0.21068
1.968,-0.0757239,1.1752,-0.208755
1.974,-0.078561,1.16866,-0.206375
1.98,-0.0813845,1.16148,-0.203808
1.986,-0.084208,1.15431,-0.201242
1.992,-0.0870316,1.14714,-0.198675
1.998,-0.0898551,1.13996,-0.196108
2.004,-0.0926786,1.13279,-0.193542
2.01,-0.0955021,1.12562,-0.190975
2.016,-0.0983257,1.11844,-0.188409
2.022,-0.101149,1.11127,-0.185842
2.028,-0.103874,1.10244,-0.182881
2.034,-0.106567,1.09306,-0.179788
2.04,-0.109259,1.08368,-0.176695
2.046,-0.111952,1.07431,-0.173602
2.052,-0.114644,1.06493,-0.170509
2.058,-0.117336,1.05555,-0.167416
2.064,-0.120029,1.04617,-0.164323
2.07,-0.122721,1.03679,-0.16123
2.076,-0.125371,1.02696,-0.158061
2.082,-0.127864,1.01549,-0.15462
2.088,-0.130358,1.00402,-0.151179
2.094,-0.132851,0.992556,-0.147737
2.1,-0.135345,0.981088,-0.144296
2.106,-0.137839,0.96962,-0.140854
2.112,-0.140332,0.958153,-0.137413
2.118,-0.142826,0.946685,-0.133972
2.124,-0.145298,0.935056,-0.130519
2.13,-0.147547,0.921766,-0.126946
2.136,-0.149797,0.908476,-0.123374
2.142,-0.152046,0.895187,-0.119802
2.148,-0.154296,0.881897,-0.116229
2.154,-0.156545,0.868607,-0.112657
2.16,-0.158794,0.855317,-0.109085
2.166,-0.161044,0.842027,-0.105512
2.172,-0.163201,0.828236,-0.101973
2.178,-0.165186,0.813507,-0.0984934
2.184,-0.167171,0.798778,-0.0950142
2.19,-0.169156,0.78405,-0.091535
2.196,-0.171141,0.769321,-0.0880558
2.202,-0.173126,0.754592,-0.0845766
2.208,-0.175111,0.739863,-0.0810973
2.214,-0.177096,0.725134,-0.0776181
2.22,-0.178824,0.70944,-0.074424
2.226,-0.180545,0.693723,-0.0712366
2.232,-0.182267,0.678006,-0.0680493
2.238,-0.183989,0.662289,-0.0648619
2.244,-0.18571,0.646572,-0.0616745
2.25,-0.187432,0.630855,-0.0584871
2.256,-0.189153,0.615138,-0.0552997
2.262,-0.190638,0.598922,-0.0525343
2.268,-0.192111,0.582684,-0.0497881
2.274,-0.193585,0.566446,-0.0470419
2.28,-0.195058,0.550207,-0.0442957
2.286,-0.196532,0.533969,-0.0415495
2.292,-0.198005,0.517731,-0.0388033
2.298,-0.199418,0.50147,-0.0362
2.304,-0.200664,0.485147,-0.0339822
2.31,-0.201911,0.468825,-0.0317645
2.316,-0.203157,0.452503,-0.0295468
2.322,-0.204404,0.43618,-0.027329
2.328,-0.20565,0.419858,-0.0251113
2.334,-0.206896,0.403536,-0.0228936
2.34,-0.207957,0.387477,-0.0211749
2.346,-0.208997,0.371446,-0.0195101
2.352,-0.210037,0.355415,-0.0178453
2.358,-0.211077,0.339385,-0.0161805
2.364,-0.212117,0.323354,-0.0145156
2.37,-0.213157,0.307323,-0.0128508
2.376,-0.214036,0.291786,-0.0116239
