"arc_length","p","u","v"
0,0.595985,0.999936,0
0.0120001,0.595841,0.999784,0
0.0239999,0.595697,0.999632,0
0.036,0.595553,0.99948,0
0.0480001,0.595409,0.999328,0
0.0599999,0.595266,0.999176,0
0.072,0.595122,0.999023,0
0.0840001,0.595001,0.998843,-2.03288e-20
0.096,0.595063,0.998437,1.35525e-20
0.108,0.595125,0.998031,0
0.12,0.595187,0.997625,0
0.132,0.595249,0.997219,0
0.144,0.59531,0.996813,0
0.156,0.595372,0.996407,0
0.168,0.59552,0.99592,-6.77626e-21
0.18,0.595877,0.995235,0
0.192,0.596235,0.99455,0
0.204,0.596592,0.993865,0
0.216,0.59695,0.99318,0
0.228,0.597307,0.992496,1.0842e-19
0.24,0.597664,0.991811,0
0.252,0.598166,0.990978,-5.42101e-20
0.264,0.598793,0.990016,0
0.276,0.59942,0.989055,5.42101e-20
0.288,0.600047,0.988094,0
0.3,0.600674,0.987133,0
0.312,0.601301,0.986171,2.1684e-19
0.324,0.601928,0.98521,0
0.336,0.602794,0.984005,-2.71051e-20
0.348,0.603702,0.982756,0
0.36,0.60461,0.981508,0
0.372,0.605518,0.980259,-1.0842e-19
0.384,0.606426,0.97901,0
0.396,0.607334,0.977762,0
0.408,0.608307,0.976444,4.74338e-20
0.42,0.6095,0.974895,-5.42101e-20
0.432,0.610693,0.973346,0
0.444,0.611886,0.971798,-1.0842e-19
0.456,0.613079,0.970249,0
0.468,0.614272,0.9687,0
0.48,0.615465,0.967151,0
0.492,0.616857,0.965387,-8.13152e-20
0.504,0.618344,0.963519,1.0842e-19
0.516,0.619832,0.961651,1.0842e-19
0.528,0.621319,0.959784,0
0.54,0.622806,0.957916,0
0.552,0.624294,0.956048,2.1684e-19
0.564,0.625838,0.954117,-1.35525e-19
0.576,0.627631,0.951907,5.42101e-20
0.588,0.629424,0.949697,-2.1684e-19
0.6,0.631217,0.947487,0
0.612,0.63301,0.945277,0
0.624,0.634803,0.943067,4.33681e-19
0.636,0.636596,0.940857,0
0.648,0.638631,0.938365,2.1684e-19
0.66,0.640743,0.935782,-1.0842e-19
0.672,0.642855,0.9332,-2.1684e-19
0.684,0.644967,0.930618,2.1684e-19
0.696,0.647079,0.928036,0
0.708,0.649191,0.925454,0
0.72,0.651435,0.92271,-1.89735e-19
0.732,0.653882,0.91972,-2.1684e-19
0.744,0.656328,0.91673,0
0.756,0.658775,0.91374,0
0.768,0.661221,0.91075,0
0.78,0.663668,0.907759,0
0.792,0.666148,0.904725,1.55854e-19
0.804,0.668946,0.901283,1.0842e-19
0.816,0.671744,0.897841,-2.1684e-19
0.828,0.674542,0.894399,-2.1684e-19
0.84,0.67734,0.890957,0
0.852,0.680138,0.887515,0
0.864,0.682936,0.884073,0
0.876,0.686052,0.880197,2.1684e-19
0.888,0.689219,0.87625,0
0.9,0.692386,0.872303,0
0.912,0.695553,0.868357,0
0.924,0.698721,0.86441,-4.33681e-19
0.936,0.701888,0.860463,0
0.948,0.705321,0.856129,4.33681e-19
0.96,0.708876,0.851616,2.1684e-19
0.972,0.712431,0.847103,0
0.984,0.715987,0.84259,0
0.996,0.719542,0.838078,0
1.008,0.723097,0.833565,0
1.02,0.72688,0.828686,0
1.032,0.730834,0.823533,0
1.044,0.734788,0.818379,0
1.056,0.738742,0.813226,0
1.068,0.742696,0.808073,0
1.08,0.746651,0.802919,0
1.092,0.750823,0.797398,0
1.104,0.755198,0.791535,0
1.116,0.759574,0.785672,0
1.128,0.76395,0.779809,0
1.14,0.768325,0.773945,0
