"arc_length","p","u","v"
2.196,nan,nan,nan
2.208,nan,nan,nan
2.22,nan,nan,nan
2.232,nan,nan,nan
2.244,nan,nan,nan
2.256,nan,nan,nan
2.268,nan,nan,nan
2.28,nan,nan,nan
2.292,nan,nan,nan
2.304,nan,nan,nan
2.316,nan,nan,nan
2.328,nan,nan,nan
2.34,nan,nan,nan
2.352,nan,nan,nan
2.364,nan,nan,nan
2.376,nan,nan,nan
2.388,nan,nan,nan
2.4,nan,nan,nan
2.412,nan,nan,nan
2.424,nan,nan,nan
2.436,nan,nan,nan
2.448,nan,nan,nan
2.46,nan,nan,nan
2.472,nan,nan,nan
2.484,nan,nan,nan
2.496,nan,nan,nan
2.508,nan,nan,nan
2.52,nan,nan,nan
2.532,nan,nan,nan
2.544,nan,nan,nan
2.556,nan,nan,nan
2.568,nan,nan,nan
2.58,nan,nan,nan
2.592,nan,nan,nan
2.604,nan,nan,nan
2.616,nan,nan,nan
2.628,nan,nan,nan
2.64,nan,nan,nan
2.652,nan,nan,nan
2.664,nan,nan,nan
2.676,nan,nan,nan
2.688,nan,nan,nan
2.7,nan,nan,nan
2.712,nan,nan,nan
2.724,nan,nan,nan
2.736,nan,nan,nan
2.748,nan,nan,nan
2.76,nan,nan,nan
2.772,nan,nan,nan
2.784,nan,nan,nan
2.796,nan,nan,nan
2.808,nan,nan,nan
2.82,nan,nan,nan
2.832,nan,nan,nan
2.844,nan,nan,nan
2.856,nan,nan,nan
2.868,nan,nan,nan
2.88,nan,nan,nan
2.892,nan,nan,nan
2.904,nan,nan,nan
2.916,nan,nan,nan
2.928,nan,nan,nan
2.94,nan,nan,nan
2.952,nan,nan,nan
2.964,nan,nan,nan
2.976,nan,nan,nan
2.988,nan,nan,nan
3,-0.00468259,0,0
3.012,-0.00613037,-0.000193847,0
3.024,-0.00757816,-0.000387693,0
3.036,-0.00869106,-0.000753464,0
3.048,-0.00947616,-0.00128752,0
3.06,-0.0102613,-0.00182158,1.86347e-20
3.072,-0.0107004,-0.00252909,-2.71051e-20
3.084,-0.011095,-0.00325891,1.35525e-20
3.096,-0.011427,-0.00399901,0
3.108,-0.0113605,-0.00480459,2.71051e-20
3.12,-0.0112939,-0.00561018,1.35525e-20
3.132,-0.0111241,-0.00640367,0
3.144,-0.0106404,-0.00716042,2.71051e-20
3.156,-0.0101568,-0.00791718,0
3.168,-0.00958837,-0.00863966,0
3.18,-0.00871114,-0.00923733,0
3.192,-0.00783392,-0.00983499,1.35525e-20
3.204,-0.00694556,-0.0104247,0
3.216,-0.00571545,-0.0107705,0
3.228,-0.00448535,-0.0111162,1.35525e-20
3.24,-0.00325524,-0.011462,3.38813e-21
3.252,-0.00181291,-0.0115864,0
3.264,-0.000274538,-0.0116105,0
3.276,0.00126384,-0.0116347,0
3.288,0.0028483,-0.0115935,0
3.3,0.00464538,-0.011251,-1.35525e-20
3.312,0.00644244,-0.0109086,0
3.324,0.00823951,-0.0105661,3.38813e-21
3.336,0.0101387,-0.0100328,0
3.348,0.0121432,-0.0093029,-2.71051e-20
3.36,0.0141477,-0.00857297,-1.35525e-20
3.372,0.0161522,-0.00784304,3.04932e-20
3.384,0.018254,-0.00687218,-5.42101e-20
3.396,0.0204148,-0.00575517,-5.42101e-20
3.408,0.0225756,-0.00463816,5.42101e-20
3.42,0.0247364,-0.00352114,-5.42101e-20
3.432,0.0269572,-0.00219749,0
3.444,0.0292254,-0.000710744,0
3.456,0.0314936,0.000775998,-5.42101e-20
3.468,0.0337617,0.00226275,-5.42101e-20
3.48,0.036048,0.00384889,0
3.492,0.0383782,0.00567584,0
3.504,0.0407084,0.00750278,0
3.516,0.0430386,0.00932975,-1.0842e-19
3.528,0.0453688,0.0111567,-8.80914e-20
3.54,0.0477159,0.0132298,-2.1684e-19
3.552,0.0500669,0.0153598,1.0842e-19
3.564,0.0524179,0.0174898,0
3.576,0.0547689,0.0196199,-5.42101e-20
3.588,0.0571184,0.0217783,0
3.6,0.059455,0.0241707,0
3.612,0.0617917,0.026563,0
3.624,0.0641283,0.0289554,-1.0842e-19
3.636,0.066465,0.0313478,0
3.648,0.0687936,0.0337774,0
3.66,0.0710826,0.0363903,-2.1684e-19
3.672,0.0733717,0.0390032,0
3.684,0.0756607,0.0416161,1.0842e-19
3.696,0.0779497,0.044229,1.6263e-19
3.708,0.0802388,0.0468419,2.04982e-19
3.72,0.0824621,0.0496333,2.1684e-19
3.732,0.0846842,0.0524279,2.1684e-19
3.744,0.0869063,0.0552224,-2.1684e-19
3.756,0.0891284,0.0580169,1.0842e-19
3.768,0.0913505,0.0608115,1.6263e-19
3.78,0.0935151,0.0636818,0
3.792,0.0956302,0.0666174,0
3.804,0.0977453,0.069553,2.1684e-19
3.816,0.0998604,0.0724886,0
3.828,0.101975,0.0754241,1.0842e-19
3.84,0.104091,0.0783598,1.21973e-19
3.852,0.106147,0.0813912,0
3.864,0.10819,0.0844437,0
3.876,0.110234,0.0874963,2.1684e-19
3.888,0.112277,0.0905488,0
3.9,0.114321,0.0936014,0
3.912,0.116364,0.0966539,1.35525e-19
3.924,0.118245,0.0997638,0
3.936,0.120089,0.102887,0
3.948,0.121932,0.106009,0
3.96,0.123776,0.109132,0
3.972,0.12562,0.112255,0
3.984,0.127464,0.115378,0
3.996,0.129307,0.118501,0
4.008,0.131064,0.121667,0
4.02,0.132821,0.124833,0
4.032,0.134579,0.127998,0
4.044,0.136336,0.131164,0
4.056,0.138093,0.13433,0
4.068,0.13985,0.137496,0
4.08,0.141575,0.140668,0
4.092,0.143171,0.143865,0
4.104,0.144767,0.147063,0
4.116,0.146363,0.15026,0
4.128,0.147959,0.153457,0
4.14,0.149555,0.156654,0
4.152,0.151151,0.159852,0
4.164,0.152693,0.163052,0
4.176,0.154154,0.166255,0
4.188,0.155615,0.169459,0
4.2,0.157076,0.172663,0
4.212,0.158536,0.175866,0
4.224,0.159997,0.17907,0
4.236,0.161458,0.182274,0
4.248,0.162836,0.185473,0
4.26,0.164156,0.188669,0
4.272,0.165477,0.191866,0
4.284,0.166797,0.195062,0
4.296,0.168118,0.198258,0
4.308,0.169438,0.201454,0
4.32,0.170759,0.204651,0
4.332,0.171975,0.207831,0
4.344,0.173163,0.211007,0
4.356,0.17435,0.214183,0
4.368,0.175538,0.21736,0
4.38,0.176725,0.220536,0
4.392,0.177913,0.223712,0
4.404,0.1791,0.226888,0
4.416,0.180161,0.230036,0
4.428,0.18122,0.233182,0
4.44,0.182279,0.236329,0
4.452,0.183337,0.239476,0
4.464,0.184396,0.242622,0
4.476,0.185455,0.245769,0
4.488,0.186492,0.248909,0
4.5,0.187428,0.252019,0
4.512,0.188363,0.255129,0
4.524,0.189299,0.258239,0
4.536,0.190235,0.261348,0
4.548,0.191171,0.264458,0
4.56,0.192106,0.267568,0
4.572,0.192999,0.270662,0
4.584,0.193818,0.273728,0
4.596,0.194636,0.276795,0
4.608,0.195455,0.279861,0
4.62,0.196273,0.282928,0
4.632,0.197092,0.285995,0
4.644,0.197911,0.289061,0
4.656,0.198667,0.292101,0
4.668,0.199375,0.29512,0
4.68,0.200082,0.298138,0
4.692,0.20079,0.301157,0
4.704,0.201497,0.304176,0
4.716,0.202205,0.307195,0
4.728,0.202912,0.310213,0
4.74,0.203541,0.313193,0
4.752,0.204143,0.31616,0
4.764,0.204746,0.319127,0
4.776,0.205349,0.322094,0
4.788,0.205951,0.325061,0
4.8,0.206554,0.328028,0
4.812,0.207157,0.330995,0
4.824,0.207666,0.33391,0
4.836,0.208169,0.336822,0
4.848,0.208673,0.339734,0
4.86,0.209177,0.342646,0
4.872,0.20968,0.345558,0
4.884,0.210184,0.34847,0
4.896,0.210675,0.351373,0
4.908,0.211086,0.354228,0
4.92,0.211497,0.357083,0
4.932,0.211908,0.359937,0
4.944,0.212319,0.362792,0
4.956,0.212729,0.365647,0
4.968,0.21314,0.368501,0
4.98,0.213522,0.371336,0
4.992,0.213846,0.374131,0
5.004,0.21417,0.376926,0
5.016,0.214494,0.379721,0
5.028,0.214818,0.382516,0
5.04,0.215142,0.385311,0
5.052,0.215466,0.388106,0
5.064,0.215747,0.390869,0
5.076,0.21599,0.393603,0
5.088,0.216232,0.396338,0
5.1,0.216475,0.399072,0
5.112,0.216718,0.401806,0
5.124,0.21696,0.40454,0
5.136,0.217203,0.407274,0
5.148,0.217391,0.409963,0
5.16,0.217558,0.412635,0
5.172,0.217726,0.415307,0
5.184,0.217893,0.417979,0
5.196,0.21806,0.420651,0
5.208,0.218227,0.423323,0
5.22,0.218394,0.425994,0
5.232,0.218497,0.428609,0
5.244,0.218594,0.431217,0
5.256,0.218691,0.433826,0
5.268,0.218788,0.436435,0
5.28,0.218884,0.439044,0
5.292,0.218981,0.441652,0
5.304,0.219071,0.444254,0
5.316,0.219103,0.446799,0
5.328,0.219135,0.449344,0
5.34,0.219167,0.451889,0
5.352,0.219199,0.454434,0
5.364,0.219231,0.456979,0
5.376,0.219263,0.459524,0
5.388,0.219276,0.46205,0
5.4,0.219248,0.464531,0
5.412,0.21922,0.467012,0
5.424,0.219192,0.469493,0
5.436,0.219164,0.471974,0
5.448,0.219136,0.474454,0
5.46,0.219108,0.476935,0
5.472,0.219053,0.479384,0
5.484,0.218969,0.481801,0
5.496,0.218886,0.484218,0
5.508,0.218803,0.486634,0
5.52,0.21872,0.489051,0
5.532,0.218636,0.491468,0
5.544,0.218553,0.493884,0
5.556,0.218435,0.496256,0
5.568,0.218301,0.498609,0
5.58,0.218167,0.500961,0
5.592,0.218033,0.503314,0
5.604,0.2179,0.505666,0
5.616,0.217766,0.508018,0
5.628,0.217632,0.510371,0
5.64,0.217457,0.512666,0
5.652,0.217277,0.514955,0
5.664,0.217097,0.517243,0
5.676,0.216917,0.519531,0
5.688,0.216737,0.52182,0
5.7,0.216557,0.524108,0
5.712,0.216373,0.526391,0
5.724,0.216151,0.528616,0
5.736,0.215929,0.53084,0
5.748,0.215707,0.533065,0
5.76,0.215485,0.53529,0
5.772,0.215263,0.537514,0
5.784,0.21504,0.539739,0
5.796,0.214808,0.541946,0
5.808,0.214547,0.544107,0
5.82,0.214287,0.546269,0
5.832,0.214027,0.54843,0
5.844,0.213766,0.550592,0
5.856,0.213506,0.552753,0
5.868,0.213246,0.554914,0
5.88,0.212969,0.557046,0
5.892,0.212674,0.559145,0
5.904,0.212379,0.561244,0
5.916,0.212085,0.563343,0
5.928,0.21179,0.565441,0
5.94,0.211495,0.56754,0
5.952,0.2112,0.569639,0
5.964,0.210885,0.571696,0
5.976,0.210559,0.573733,0
5.988,0.210233,0.57577,0
6,0.209907,0.577807,0
6.012,0.209581,0.579844,0
6.024,0.209256,0.58188,0
6.036,0.20893,0.583917,0
6.048,0.20858,0.585902,0
6.06,0.208227,0.587878,0
6.072,0.207873,0.589853,0
6.084,0.207519,0.591829,0
6.096,0.207166,0.593805,0
6.108,0.206812,0.59578,0
6.12,0.206457,0.597753,0
6.132,0.206079,0.599668,0
6.144,0.205701,0.601584,0
6.156,0.205323,0.603499,0
6.168,0.204945,0.605415,0
6.18,0.204566,0.60733,0
6.192,0.204188,0.609246,0
6.204,0.203805,0.611147,0
6.216,0.203404,0.613003,0
6.228,0.203004,0.614859,0
6.24,0.202604,0.616716,0
6.252,0.202204,0.618572,0
6.264,0.201804,0.620428,0
6.276,0.201404,0.622284,0
6.288,0.200996,0.624115,0
6.3,0.200576,0.625913,0
6.312,0.200157,0.627711,0
6.324,0.199738,0.629509,0
6.336,0.199319,0.631307,0
6.348,0.198899,0.633105,0
6.36,0.19848,0.634903,0
6.372,0.19805,0.636666,0
6.384,0.197614,0.638407,0
6.396,0.197178,0.640148,0
6.408,0.196742,0.641889,0
6.42,0.196306,0.64363,0
6.432,0.19587,0.64537,0
6.444,0.195435,0.647111,0
6.456,0.194987,0.648806,0
6.468,0.194536,0.650492,0
6.48,0.194086,0.652177,0
6.492,0.193636,0.653862,0
6.504,0.193185,0.655547,0
6.516,0.192735,0.657232,0
6.528,0.192284,0.658916,0
6.54,0.191821,0.660546,0
6.552,0.191359,0.662177,0
6.564,0.190896,0.663807,0
6.576,0.190433,0.665437,0
6.588,0.189971,0.667068,0
6.6,0.189508,0.668698,0
6.612,0.189043,0.670317,0
6.624,0.18857,0.671894,0
6.636,0.188097,0.673471,0
6.648,0.187624,0.675048,0
6.66,0.18715,0.676625,0
6.672,0.186677,0.678202,0
6.684,0.186204,0.679779,0
6.696,0.185727,0.681334,0
6.708,0.185246,0.682859,0
6.72,0.184764,0.684384,0
6.732,0.184282,0.685909,0
6.744,0.1838,0.687433,0
6.756,0.183319,0.688958,0
6.768,0.182837,0.690483,0
6.78,0.182351,0.691977,0
6.792,0.181862,0.693451,0
6.804,0.181373,0.694925,0
6.816,0.180884,0.696399,0
6.828,0.180396,0.697872,0
6.84,0.179907,0.699346,0
6.852,0.179418,0.70082,0
6.864,0.178925,0.702255,0
6.876,0.17843,0.703679,0
6.888,0.177936,0.705103,0
6.9,0.177442,0.706528,0
6.912,0.176947,0.707952,0
6.924,0.176453,0.709376,0
6.936,0.175959,0.710801,0
6.948,0.17546,0.712177,0
6.96,0.174962,0.713553,0
6.972,0.174463,0.71493,0
6.984,0.173964,0.716306,0
6.996,0.173466,0.717682,0
7.008,0.172967,0.719058,0
7.02,0.172468,0.720425,0
7.032,0.171966,0.721755,0
7.044,0.171465,0.723084,0
7.056,0.170963,0.724413,0
7.068,0.170461,0.725742,0
7.08,0.16996,0.727071,0
7.092,0.169458,0.728401,0
7.104,0.168956,0.729713,0
7.116,0.168452,0.730996,0
7.128,0.167949,0.73228,0
7.14,0.167445,0.733564,0
7.152,0.166941,0.734847,0
7.164,0.166438,0.736131,0
7.176,0.165934,0.737415,0
7.188,0.16543,0.738673,0
7.2,0.164926,0.739913,0
7.212,0.164421,0.741152,0
7.224,0.163916,0.742392,0
7.236,0.163412,0.743631,0
7.248,0.162907,0.744871,0
7.26,0.162403,0.74611,0
7.272,0.161898,0.747317,0
7.284,0.161393,0.748514,0
7.296,0.160889,0.74971,0
7.308,0.160384,0.750907,0
7.32,0.159879,0.752104,0
7.332,0.159374,0.7533,0
7.344,0.15887,0.754497,0
7.356,0.158366,0.755654,0
7.368,0.157862,0.756809,0
7.38,0.157357,0.757964,0
7.392,0.156853,0.759119,0
7.404,0.156349,0.760274,0
7.416,0.155845,0.761429,0
7.428,0.155341,0.762578,0
7.44,0.154839,0.763693,0
7.452,0.154336,0.764808,0
7.464,0.153833,0.765923,0
7.476,0.15333,0.767038,0
7.488,0.152827,0.768153,0
7.5,0.152325,0.769268,0
7.512,0.151822,0.770369,0
7.524,0.151322,0.771445,0
7.536,0.150821,0.772521,0
7.548,0.15032,0.773597,0
7.56,0.149819,0.774673,0
7.572,0.149318,0.775749,0
7.584,0.148817,0.776825,0
7.596,0.148318,0.777881,0
7.608,0.147819,0.778919,0
7.62,0.147321,0.779958,0
7.632,0.146822,0.780996,0
7.644,0.146324,0.782035,0
7.656,0.145825,0.783073,0
7.668,0.145327,0.784111,0
7.68,0.14483,0.785123,0
7.692,0.144335,0.786125,0
7.704,0.143839,0.787127,0
7.716,0.143343,0.788129,0
7.728,0.142848,0.789131,0
7.74,0.142352,0.790133,0
7.752,0.141857,0.791135,0
7.764,0.141364,0.792105,0
7.776,0.140871,0.793072,0
7.788,0.140379,0.794038,0
7.8,0.139887,0.795005,0
7.812,0.139394,0.795972,0
7.824,0.138902,0.796939,0
7.836,0.13841,0.797902,0
7.848,0.137921,0.798835,0
7.86,0.137432,0.799768,0
