"arc_length","u","v","p"
0.14,-0.0810846,0.144672,-0.0637144
0.141,-0.0815839,0.145161,-0.0630476
0.142,-0.0820832,0.145649,-0.0623809
0.143,-0.0825825,0.146138,-0.0617141
0.144,-0.0830818,0.146627,-0.0610473
0.145,-0.0835811,0.147116,-0.0603805
0.146,-0.0840805,0.147604,-0.0597138
0.147,-0.0845798,0.148093,-0.059047
0.148,-0.0850791,0.148582,-0.0583802
0.149,-0.0855784,0.149071,-0.0577134
0.15,-0.0860777,0.149559,-0.0570467
0.151,-0.086577,0.150048,-0.0563799
0.152,-0.0870763,0.150537,-0.0557131
0.153,-0.0875757,0.151026,-0.0550463
0.154,-0.088075,0.151514,-0.0543796
0.155,-0.0885743,0.152003,-0.0537128
0.156,-0.0890736,0.152492,-0.053046
0.157,-0.0895655,0.152851,-0.0525238
0.158,-0.090055,0.153167,-0.0520496
0.159,-0.0905445,0.153483,-0.0515755
0.16,-0.091034,0.153799,-0.0511014
0.161,-0.0915235,0.154115,-0.0506273
0.162,-0.0920129,0.154431,-0.0501532
0.163,-0.0925024,0.154747,-0.0496791
0.164,-0.0929919,0.155062,-0.049205
0.165,-0.0934814,0.155378,-0.0487309
0.166,-0.0939709,0.155694,-0.0482568
0.167,-0.0944603,0.15601,-0.0477827
0.168,-0.0949498,0.156326,-0.0473086
0.169,-0.0954393,0.156642,-0.0468345
0.17,-0.0959288,0.156958,-0.0463604
0.171,-0.0964183,0.157274,-0.0458863
0.172,-0.0969077,0.15759,-0.0454122
0.173,-0.0973972,0.157906,-0.0449381
0.174,-0.0978867,0.158222,-0.044464
0.175,-0.0983762,0.158538,-0.0439899
0.176,-0.0988657,0.158854,-0.0435158
0.177,-0.0993551,0.15917,-0.0430417
0.178,-0.0998446,0.159486,-0.0425676
0.179,-0.100334,0.159802,-0.0420935
0.18,-0.100824,0.160117,-0.0416194
0.181,-0.101313,0.160433,-0.0411453
0.182,-0.101803,0.160749,-0.0406712
0.183,-0.102292,0.161065,-0.0401971
0.184,-0.102782,0.161381,-0.039723
0.185,-0.103271,0.161697,-0.0392489
0.186,-0.10376,0.162013,-0.0387748
0.187,-0.10425,0.162329,-0.0383006
0.188,-0.104737,0.162572,-0.0379007
0.189,-0.105222,0.162742,-0.037575
0.19,-0.105706,0.162913,-0.0372492
0.191,-0.106191,0.163083,-0.0369235
0.192,-0.106675,0.163253,-0.0365977
0.193,-0.10716,0.163423,-0.036272
0.194,-0.107645,0.163594,-0.0359462
0.195,-0.108129,0.163764,-0.0356205
0.196,-0.108614,0.163934,-0.0352947
0.197,-0.109099,0.164104,-0.0349689
0.198,-0.109583,0.164275,-0.0346432
0.199,-0.110068,0.164445,-0.0343174
0.2,-0.110552,0.164615,-0.0339917
0.201,-0.111037,0.164785,-0.0336659
0.202,-0.111522,0.164956,-0.0333402
0.203,-0.112006,0.165126,-0.0330144
0.204,-0.112491,0.165296,-0.0326887
0.205,-0.112976,0.165466,-0.0323629
0.206,-0.11346,0.165636,-0.0320372
0.207,-0.113945,0.165807,-0.0317114
0.208,-0.114429,0.165977,-0.0313857
0.209,-0.114914,0.166147,-0.0310599
0.21,-0.115399,0.166317,-0.0307342
0.211,-0.115883,0.166488,-0.0304084
0.212,-0.116368,0.166658,-0.0300826
0.213,-0.116853,0.166828,-0.0297569
0.214,-0.117337,0.166998,-0.0294311
0.215,-0.117822,0.167169,-0.0291054
0.216,-0.118306,0.167339,-0.0287796
0.217,-0.118791,0.167509,-0.0284539
0.218,-0.119276,0.167679,-0.0281281
0.219,-0.119759,0.167818,-0.0278338
0.22,-0.120239,0.167863,-0.0276339
0.221,-0.120719,0.167907,-0.027434
0.222,-0.121199,0.167952,-0.0272341
0.223,-0.121679,0.167996,-0.0270342
0.224,-0.122159,0.168041,-0.0268343
0.225,-0.122638,0.168085,-0.0266344
0.226,-0.123118,0.16813,-0.0264345
0.227,-0.123598,0.168174,-0.0262346
0.228,-0.124078,0.168219,-0.0260347
0.229,-0.124558,0.168263,-0.0258348
0.23,-0.125038,0.168308,-0.0256349
0.231,-0.125518,0.168352,-0.025435
0.232,-0.125998,0.168397,-0.0252351
0.233,-0.126478,0.168441,-0.0250352
0.234,-0.126957,0.168486,-0.0248353
0.235,-0.127437,0.16853,-0.0246354
0.236,-0.127917,0.168575,-0.0244355
0.237,-0.128397,0.168619,-0.0242356
0.238,-0.128877,0.168664,-0.0240357
0.239,-0.129357,0.168708,-0.0238358
0.24,-0.129837,0.168753,-0.0236359
0.241,-0.130317,0.168797,-0.023436
0.242,-0.130797,0.168842,-0.0232361
0.243,-0.131277,0.168886,-0.0230362
0.244,-0.131756,0.168931,-0.0228363
0.245,-0.132236,0.168975,-0.0226363
0.246,-0.132716,0.16902,-0.0224364
