"arc_length","p","u","v"
0,0.505447,0,0
0.00600004,0.505152,0.00888949,-0.000146096
0.0120001,0.504858,0.017779,-0.000292192
0.0179999,0.504564,0.0266681,-0.000438283
0.0239999,0.504269,0.0355576,-0.000584379
0.03,0.503975,0.0444471,-0.000730475
0.036,0.503681,0.0533366,-0.000876572
0.0420001,0.503386,0.0622261,-0.00102267
0.0480001,0.503092,0.0711156,-0.00116876
0.0539999,0.502798,0.0800047,-0.00131485
0.0599999,0.502503,0.0888942,-0.00146095
0.066,0.502209,0.0977837,-0.00160705
0.072,0.501915,0.106673,-0.00175314
0.0780001,0.501621,0.115563,-0.00189924
0.0840001,0.501326,0.124452,-0.00204534
0.0899999,0.501032,0.133341,-0.00219143
0.096,0.500738,0.142231,-0.00233752
0.102,0.500443,0.15112,-0.00248362
0.108,0.500149,0.16001,-0.00262972
0.114,0.499855,0.168899,-0.00277581
0.12,0.49956,0.177788,-0.0029219
0.126,0.499266,0.186678,-0.003068
0.132,0.498972,0.195567,-0.00321409
0.138,0.498677,0.204457,-0.00336019
0.144,0.498383,0.213346,-0.00350629
0.15,0.498089,0.222236,-0.00365238
0.156,0.497794,0.231125,-0.00379847
0.162,0.4975,0.240014,-0.00394457
0.168,0.497206,0.248904,-0.00409067
0.174,0.496911,0.257793,-0.00423676
0.18,0.496713,0.265675,-0.00461268
0.186,0.496569,0.272974,-0.00512146
0.192,0.496426,0.280272,-0.00563022
0.198,0.496283,0.287571,-0.006139
0.204,0.496139,0.29487,-0.00664778
0.21,0.495996,0.302169,-0.00715655
0.216,0.495852,0.309467,-0.00766533
0.222,0.495709,0.316766,-0.00817409
0.228,0.495566,0.324065,-0.00868287
0.234,0.495422,0.331364,-0.00919165
0.24,0.495279,0.338662,-0.00970043
0.246,0.495135,0.345961,-0.0102092
0.252,0.494992,0.35326,-0.010718
0.258,0.494849,0.360558,-0.0112267
0.264,0.494705,0.367857,-0.0117355
0.27,0.494562,0.375156,-0.0122443
0.276,0.494418,0.382455,-0.0127531
0.282,0.494275,0.389754,-0.0132619
0.288,0.494132,0.397052,-0.0137706
0.294,0.493988,0.404351,-0.0142794
0.3,0.493845,0.41165,-0.0147882
0.306,0.493701,0.418949,-0.015297
0.312,0.493558,0.426247,-0.0158057
0.318,0.493415,0.433546,-0.0163145
0.324,0.493271,0.440845,-0.0168233
0.33,0.493128,0.448143,-0.0173321
0.336,0.492984,0.455442,-0.0178408
0.342,0.492841,0.462741,-0.0183496
0.348,0.492698,0.47004,-0.0188584
0.354,0.49252,0.47699,-0.0194309
0.36,0.492248,0.482982,-0.0201782
0.366,0.491975,0.488974,-0.0209256
0.372,0.491703,0.494967,-0.0216729
0.378,0.491431,0.500959,-0.0224203
0.384,0.491159,0.506952,-0.0231676
0.39,0.490887,0.512944,-0.023915
0.396,0.490615,0.518937,-0.0246623
0.402,0.490342,0.524929,-0.0254097
0.408,0.49007,0.530922,-0.026157
0.414,0.489798,0.536914,-0.0269044
0.42,0.489526,0.542907,-0.0276517
0.426,0.489254,0.548899,-0.0283991
0.432,0.488982,0.554891,-0.0291464
0.438,0.48871,0.560884,-0.0298938
0.444,0.488437,0.566876,-0.0306411
0.45,0.488165,0.572869,-0.0313885
0.456,0.487893,0.578861,-0.0321358
0.462,0.487621,0.584854,-0.0328831
0.468,0.487349,0.590846,-0.0336305
0.474,0.487077,0.596839,-0.0343779
0.48,0.486804,0.602831,-0.0351252
0.486,0.486532,0.608824,-0.0358726
0.492,0.48626,0.614816,-0.0366199
0.498,0.485988,0.620808,-0.0373672
0.504,0.485716,0.626801,-0.0381146
0.51,0.485444,0.632793,-0.0388619
0.516,0.485172,0.638786,-0.0396093
0.522,0.484899,0.644778,-0.0403566
0.528,0.484627,0.650771,-0.041104
0.534,0.484276,0.65586,-0.0420428
0.54,0.483916,0.660849,-0.0430026
0.546,0.483556,0.665839,-0.0439625
0.552,0.483196,0.670828,-0.0449224
0.558,0.482836,0.675818,-0.0458822
0.564,0.482476,0.680807,-0.0468421
0.57,0.482116,0.685797,-0.0478019
0.576,0.481756,0.690787,-0.0487618
0.582,0.481396,0.695776,-0.0497217
0.588,0.481036,0.700766,-0.0506815
0.594,0.480675,0.705755,-0.0516414
0.6,0.480315,0.710745,-0.0526012
0.606,0.479955,0.715734,-0.0535611
0.612,0.479595,0.720724,-0.054521
0.618,0.479235,0.725714,-0.0554808
0.624,0.478875,0.730703,-0.0564407
0.63,0.478515,0.735693,-0.0574006
0.636,0.478155,0.740682,-0.0583604
0.642,0.477795,0.745672,-0.0593203
0.648,0.477435,0.750661,-0.0602802
0.654,0.477075,0.755651,-0.06124
0.66,0.476715,0.760641,-0.0621999
0.666,0.476355,0.76563,-0.0631597
0.672,0.475995,0.77062,-0.0641196
0.678,0.475635,0.775609,-0.0650795
0.684,0.475275,0.780599,-0.0660393
0.69,0.474915,0.785588,-0.0669992
0.696,0.474555,0.790578,-0.0679591
0.702,0.474195,0.795567,-0.0689189
0.708,0.473729,0.800157,-0.0699474
0.714,0.473172,0.804399,-0.0710358
0.72,0.472615,0.80864,-0.0721242
0.726,0.472059,0.812881,-0.0732125
0.732,0.471501,0.817123,-0.0743009
0.738,0.470945,0.821364,-0.0753892
0.744,0.470388,0.825605,-0.0764776
0.75,0.469831,0.829847,-0.0775659
0.756,0.469274,0.834088,-0.0786543
0.762,0.468717,0.83833,-0.0797427
0.768,0.46816,0.842571,-0.080831
0.774,0.467603,0.846812,-0.0819193
0.78,0.467046,0.851054,-0.0830077
0.786,0.466489,0.855295,-0.0840961
0.792,0.465932,0.859536,-0.0851844
0.798,0.465375,0.863778,-0.0862728
0.804,0.464818,0.868019,-0.0873611
0.81,0.464261,0.87226,-0.0884495
0.816,0.463704,0.876502,-0.0895379
0.822,0.463147,0.880743,-0.0906262
0.828,0.46259,0.884985,-0.0917146
0.834,0.462033,0.889226,-0.0928029
0.84,0.461476,0.893467,-0.0938913
0.846,0.460919,0.897709,-0.0949796
0.852,0.460362,0.90195,-0.096068
0.858,0.459805,0.906191,-0.0971564
0.864,0.459248,0.910433,-0.0982447
0.87,0.458691,0.914674,-0.099333
0.876,0.458134,0.918916,-0.100421
0.882,0.457533,0.923059,-0.101522
0.888,0.456718,0.926717,-0.10268
0.894,0.455903,0.930376,-0.103839
0.9,0.455088,0.934034,-0.104998
0.906,0.454274,0.937693,-0.106156
0.912,0.453459,0.941351,-0.107315
0.918,0.452644,0.94501,-0.108474
0.924,0.451829,0.948668,-0.109633
0.93,0.451014,0.952327,-0.110791
0.936,0.450199,0.955985,-0.11195
0.942,0.449384,0.959643,-0.113109
0.948,0.448569,0.963302,-0.114267
0.954,0.447754,0.96696,-0.115426
0.96,0.446939,0.970619,-0.116585
0.966,0.446124,0.974277,-0.117744
0.972,0.445309,0.977936,-0.118902
0.978,0.444494,0.981594,-0.120061
0.984,0.443679,0.985252,-0.12122
