"arc_length","p","u","v"
0,0.46326,0.999936,0
0.0120001,0.463204,0.99979,0
0.0239999,0.463148,0.999644,0
0.036,0.463093,0.999498,0
0.0480001,0.463037,0.999352,0
0.0599999,0.462981,0.999206,0
0.072,0.462926,0.99906,0
0.0840001,0.46289,0.998889,-6.77626e-21
0.096,0.463014,0.998516,-1.35525e-20
0.108,0.463138,0.998144,2.71051e-20
0.12,0.463261,0.997771,0
0.132,0.463385,0.997398,0
0.144,0.463509,0.997026,0
0.156,0.463633,0.996653,0
0.168,0.463835,0.996205,4.06576e-20
0.18,0.464231,0.995573,-2.71051e-20
0.192,0.464626,0.994942,5.42101e-20
0.204,0.465021,0.99431,5.42101e-20
0.216,0.465417,0.993679,-5.42101e-20
0.228,0.465812,0.993047,0
0.24,0.466207,0.992415,0
0.252,0.466737,0.991646,5.42101e-20
0.264,0.467383,0.990757,5.42101e-20
0.276,0.468029,0.989869,-5.42101e-20
0.288,0.468675,0.988981,1.0842e-19
0.3,0.469321,0.988092,0
0.312,0.469967,0.987204,2.1684e-19
0.324,0.470613,0.986315,0
0.336,0.471481,0.985199,5.42101e-20
0.348,0.472388,0.984043,0
0.36,0.473294,0.982887,0
0.372,0.474201,0.98173,0
0.384,0.475108,0.980574,0
0.396,0.476015,0.979418,0
0.408,0.476983,0.978197,-1.0842e-19
0.42,0.478156,0.976759,5.42101e-20
0.432,0.479329,0.975322,1.0842e-19
0.444,0.480502,0.973885,-1.0842e-19
0.456,0.481676,0.972447,0
0.468,0.482849,0.97101,0
0.48,0.484022,0.969572,0
0.492,0.485382,0.967933,-8.13152e-20
0.504,0.486831,0.966197,1.0842e-19
0.516,0.488281,0.96446,1.0842e-19
0.528,0.48973,0.962723,0
0.54,0.49118,0.960987,0
0.552,0.492629,0.95925,0
0.564,0.494132,0.957454,8.13152e-20
0.576,0.49587,0.955395,1.6263e-19
0.588,0.497607,0.953336,2.1684e-19
0.6,0.499345,0.951277,-2.1684e-19
0.612,0.501083,0.949218,-2.1684e-19
0.624,0.502821,0.947159,2.1684e-19
0.636,0.504559,0.9451,0
0.648,0.506526,0.942775,0
0.66,0.508566,0.940365,2.1684e-19
0.672,0.510606,0.937955,0
0.684,0.512647,0.935545,0
0.696,0.514687,0.933135,0
0.708,0.516727,0.930725,0
0.72,0.518894,0.928162,-5.42101e-20
0.732,0.521254,0.925366,1.0842e-19
0.744,0.523613,0.92257,0
0.756,0.525972,0.919773,-2.1684e-19
0.768,0.528332,0.916977,0
0.78,0.530691,0.914181,0
0.792,0.533084,0.911343,6.09864e-20
0.804,0.535781,0.908118,-1.0842e-19
0.816,0.538478,0.904894,2.1684e-19
0.828,0.541175,0.901669,0
0.84,0.543872,0.898444,0
0.852,0.546569,0.895219,0
0.864,0.549267,0.891994,0
0.876,0.552271,0.888357,2.1684e-19
0.888,0.555326,0.884652,-2.1684e-19
0.9,0.55838,0.880947,2.1684e-19
0.912,0.561435,0.877242,0
0.924,0.564489,0.873537,0
0.936,0.567544,0.869832,0
0.948,0.570858,0.865757,1.0842e-19
0.96,0.574292,0.861513,0
0.972,0.577726,0.857269,4.33681e-19
0.984,0.58116,0.853025,0
0.996,0.584594,0.848781,-4.33681e-19
1.008,0.588027,0.844537,0
1.02,0.591685,0.839942,3.25261e-19
1.032,0.59551,0.835083,-2.1684e-19
1.044,0.599336,0.830223,0
1.056,0.603161,0.825364,4.33681e-19
1.068,0.606987,0.820505,0
1.08,0.610812,0.815646,0
1.092,0.614859,0.810441,0
1.104,0.61911,0.804915,0
1.116,0.623362,0.799388,0
1.128,0.627614,0.793861,0
1.14,0.631865,0.788334,0
1.152,0.636117,0.782808,0
1.164,0.640605,0.776878,0
1.176,0.645316,0.770568,0
1.188,0.650026,0.764258,0
1.2,0.654737,0.757948,0
1.212,0.659448,0.751638,0
1.224,0.664159,0.745327,0
1.236,0.669168,0.738351,0
1.248,0.674253,0.731205,0
1.26,0.679339,0.724058,0
1.272,0.684425,0.716912,0
1.284,0.68951,0.709765,0
1.296,0.694723,0.702295,0
1.308,0.700171,0.694227,0
1.32,0.705619,0.686158,0
1.332,0.711067,0.67809,0
1.344,0.716515,0.670021,0
1.356,0.722014,0.661788,0
1.368,0.727767,0.652723,0
1.38,0.73352,0.643658,0
1.392,0.739273,0.634592,0
1.404,0.745026,0.625527,0
1.416,0.750832,0.616221,0
1.428,0.756818,0.606087,0
1.44,0.762805,0.595954,0
1.452,0.768791,0.585821,0
1.464,0.774777,0.575688,0
1.476,0.780834,0.564968,0
1.488,0.786955,0.553711,0
1.5,0.793076,0.542454,0
1.512,0.799198,0.531196,0
1.524,0.805319,0.519891,0
1.536,0.811455,0.507478,0
1.548,0.817591,0.495064,0
1.56,0.823727,0.48265,0
1.572,0.829864,0.470236,0
1.584,0.835903,0.456933,0
1.596,0.841913,0.44337,0
1.608,0.847924,0.429808,0
1.62,0.853935,0.416246,0
1.632,0.859751,0.401916,0
1.644,0.865488,0.387275,0
1.656,0.871225,0.372634,0
1.668,0.876962,0.357993,0
1.68,0.882352,0.342578,0
1.692,0.887677,0.327017,0
1.704,0.893002,0.311456,0
1.716,0.898247,0.295795,0
1.728,0.903058,0.279592,0
1.74,0.907869,0.263388,0
1.752,0.912681,0.247185,0
1.764,0.917141,0.230838,0
1.776,0.921409,0.214414,0
1.788,0.925677,0.197989,0
1.8,0.9298,0.181672,0
1.812,0.933589,0.165601,0
1.824,0.937379,0.14953,0
1.836,0.941134,0.133585,0
1.848,0.944632,0.118586,0
1.86,0.94813,0.103587,0
1.872,0.951625,0.0887488,0
1.884,0.955084,0.0756343,0
1.896,0.958543,0.0625198,0
1.908,0.962077,0.0499535,0
1.92,0.965915,0.0396113,0
1.932,0.969752,0.029269,0
1.944,0.973761,0.0205084,0
1.956,0.977982,0.0137013,0
1.968,0.982203,0.0068942,0
1.98,0.987751,0.00382372,0
1.992,0.993574,0.00152949,0
2.004,nan,nan,nan
2.016,nan,nan,nan
2.028,nan,nan,nan
2.04,nan,nan,nan
2.052,nan,nan,nan
2.064,nan,nan,nan
2.076,nan,nan,nan
2.088,nan,nan,nan
2.1,nan,nan,nan
2.112,nan,nan,nan
2.124,nan,nan,nan
2.136,nan,nan,nan
2.148,nan,nan,nan
2.16,nan,nan,nan
2.172,nan,nan,nan
2.184,nan,nan,nan
2.196,nan,nan,nan
